Title,Type,BodyPart,Equipment,Level,BodyGroup,exercise_id,goal_tag,movement_type,equipment_std
Single-arm high-cable side bend,Strength,Abdominals,Cable,Intermediate,Core,E00149,Hypertrophy,Isolation,Cable
Kneeling cable oblique crunch,Strength,Abdominals,Cable,Intermediate,Core,E00150,FatLoss,Isolation,Cable
Kneeling cable crunch,Strength,Abdominals,Cable,Intermediate,Core,E00151,Endurance,Isolation,Cable
Rope Crunch,Strength,Abdominals,Cable,Intermediate,Core,E00152,Endurance,Isolation,Cable
Standing cable crunch,Strength,Abdominals,Cable,Intermediate,Core,E00153,FatLoss,Isolation,Cable
Bosu Ball Cable Crunch With Side Bends,Strength,Abdominals,Cable,Beginner,Core,E00154,Hypertrophy,Isolation,Cable
Standing Cable Wood Chop,Strength,Abdominals,Cable,Intermediate,Core,E00155,Hypertrophy,Isolation,Cable
Cable reverse crunch,Strength,Abdominals,Cable,Beginner,Core,E00156,FatLoss,Isolation,Cable
Cable Russian Twists,Strength,Abdominals,Cable,Beginner,Core,E00157,Endurance,Isolation,Cable
Pallof press with rotation,Strength,Abdominals,Cable,Intermediate,Core,E00158,Endurance,Compound,Cable
Cable Seated Crunch,Strength,Abdominals,Cable,Beginner,Core,E00159,Hypertrophy,Isolation,Cable
Cable Judo Flip,Strength,Abdominals,Cable,Beginner,Core,E00160,FatLoss,Isolation,Cable
Exercise Ball Cable Crunch - Gethin Variation,Strength,Abdominals,Cable,Intermediate,Core,E00161,FatLoss,Isolation,Cable
Standing cable high-to-low twist,Strength,Abdominals,Cable,Intermediate,Core,E00162,Hypertrophy,Isolation,Cable
Bent-Over Reverse Cable Fly,Strength,Abdominals,Cable,Intermediate,Core,E00163,Hypertrophy,Isolation,Cable
Standing Cable Crunch - Gethin Variation,Strength,Abdominals,Cable,Intermediate,Core,E00164,Endurance,Isolation,Cable
AM Cable Crunch,Strength,Abdominals,Cable,Intermediate,Core,E00165,Hypertrophy,Isolation,Cable
Tyler Holt Weighted Knee-To-Chest Crunch,Strength,Abdominals,Cable,Intermediate,Core,E00166,Endurance,Isolation,Cable
Standing cable twist,Strength,Abdominals,Cable,Intermediate,Core,E00167,Endurance,Isolation,Cable
30 Cable Rope Crunch,Strength,Abdominals,Cable,Intermediate,Core,E00168,FatLoss,Isolation,Cable
30 Cable Rope Oblique Crunch,Strength,Abdominals,Cable,Intermediate,Core,E00169,Endurance,Isolation,Cable
Cable lying twist on ball,Strength,Abdominals,Cable,Intermediate,Core,E00170,FatLoss,Isolation,Cable
30 Cable Pallof Press,Strength,Abdominals,Cable,Intermediate,Core,E00171,FatLoss,Compound,Cable
30 Cable Reverse Crunch On Ball,Strength,Abdominals,Cable,Intermediate,Core,E00172,Hypertrophy,Isolation,Cable
30 Cable Reverse Crunch,Strength,Abdominals,Cable,Intermediate,Core,E00173,FatLoss,Isolation,Cable
Tyler Holt Cable Torso Twist,Strength,Abdominals,Cable,Intermediate,Core,E00174,Endurance,Isolation,Cable
Single-Arm Cable Outward-Facing Biceps Curl,Strength,Abdominals,Cable,Intermediate,Core,E00175,FatLoss,Isolation,Cable
Biceps Rope Curl,Strength,Abdominals,Cable,Intermediate,Core,E00176,FatLoss,Isolation,Cable
Kneeling Cable Crunches,Strength,Abdominals,Cable,Intermediate,Core,E00177,Hypertrophy,Isolation,Cable
Ab Crunch Machine,Strength,Abdominals,Machine,Intermediate,Core,E00178,Hypertrophy,Isolation,Machine
Smith machine straight-legged hip raise,Strength,Abdominals,Machine,Intermediate,Core,E00179,Hypertrophy,Isolation,Machine
Machine crunch,Strength,Abdominals,Machine,Intermediate,Core,E00180,Endurance,Isolation,Machine
AM Ab Machine,Strength,Abdominals,Machine,Intermediate,Core,E00181,FatLoss,Isolation,Machine
Smith machine V-up,Strength,Abdominals,Machine,Intermediate,Core,E00182,Endurance,Isolation,Machine
Elbow plank,Strength,Abdominals,Bodyweight,Intermediate,Core,E00183,FatLoss,Isolation,Bodyweight
